1		18.007990751616	-0.00822796112371296	-1.0057194821931	0.0972114853656569	-0.0846398045741595	0.932547753118256	NA	1	33	32	7	7	37	13	13	ENSMUSG00000086804		6	31605211	31743316	1
2	0610007P14Rik	1614.50798673574	0.038038482086751	1.02671693174544	0.103767270008568	0.366574952618587	0.713936094407025	0.99984980203113	1633	1446	1738	1787	1759	1349	1855	1471	ENSMUSG00000021252	RIKEN cDNA 0610007P14 gene	12	85815448	85824550	-1
3	0610009B22Rik	343.281865344154	0.0462372373203307	1.03256831744955	0.0779266733863302	0.5933428864736	0.552951703004569	0.99984980203113	408	319	331	354	364	332	330	323	ENSMUSG00000007777	RIKEN cDNA 0610009B22 gene	11	51685386	51688874	-1
4	0610009E02Rik	15.9786593793168	0.00710143374335436	1.00493447338871	0.141719086730754	0.0501092259848249	0.960035347703277	NA	28	13	10	17	25	19	15	12	ENSMUSG00000086714	RIKEN cDNA 0610009E02 gene	2	26445696	26459390	1
5	0610009L18Rik	15.4037471273408	-0.0827189654256738	-1.05901202082421	0.148120362585002	-0.558457756800345	0.576531842770185	NA	18	20	19	12	13	17	11	14	ENSMUSG00000043644	RIKEN cDNA 0610009L18 gene	11	120348678	120351190	1
6	0610009O20Rik	636.197378938926	-0.0611829070182901	-1.0433208589121	0.0795151582855979	-0.769449603540207	0.441626451268834	0.99984980203113	851	587	622	688	683	558	660	576	ENSMUSG00000024442	RIKEN cDNA 0610009O20 gene	18	38250249	38262629	1
7	0610010F05Rik	586.451117299176	0.074625057236357	1.05308731297853	0.124112080122656	0.601271505260467	0.547659165214831	0.99984980203113	705	594	452	621	572	739	548	504	ENSMUSG00000042208	RIKEN cDNA 0610010F05 gene	11	23564961	23633639	-1
8	0610010K14Rik	15.9015350765004	-0.0837050888437461	-1.0597361333467	0.141563477977762	-0.591290140928124	0.55432603431722	NA	38	12	15	11	19	16	14	13	ENSMUSG00000020831	RIKEN cDNA 0610010K14 gene	11	70235206	70237914	-1
9	0610011F06Rik	283.035548053144	0.101753952835839	1.0730772607884	0.108054826955264	0.941688175373846	0.346352310749276	0.99984980203113	313	296	254	266	308	324	290	228	ENSMUSG00000025731	RIKEN cDNA 0610011F06 gene	17	25875464	25886007	1
10	0610012D04Rik	3.31643416865189	-0.0234088657396075	-1.01635814228147	0.0858968729858053	-0.272522909459998	0.785219978447137	NA	3	8	2	2	7	4	0	1	ENSMUSG00000089755	RIKEN cDNA 0610012D04 gene	17	87362239	87364462	-1
11	0610012G03Rik	425.070194757009	0.036113570300405	1.02534795105954	0.121582315306134	0.29702979589979	0.766443761288875	0.99984980203113	397	446	459	428	371	452	455	357	ENSMUSG00000096232	RIKEN cDNA 0610012G03 gene	16	31948024	31948448	-1
12	0610030E20Rik	471.147923025134	-0.121075281784525	-1.08754513895509	0.144775710420042	-0.836295545939617	0.402988658258678	0.99984980203113	946	374	437	430	547	310	489	413	ENSMUSG00000058706	RIKEN cDNA 0610030E20 gene	6	72347317	72353158	1
13	0610037L13Rik	854.798318290343	-0.0818930780155511	-1.05840595067518	0.0708098068937949	-1.15652169675282	0.247467830122528	0.99984980203113	1061	826	908	909	837	703	872	787	ENSMUSG00000028608	RIKEN cDNA 0610037L13 gene	4	107889813	107899384	1
14	0610038B21Rik	23.6759611350428	0.193493694191428	1.14352958742095	0.148481077273836	1.30315389505544	0.192522226818499	NA	10	24	25	21	32	27	25	22	ENSMUSG00000097882	RIKEN cDNA 0610038B21 gene	8	77517056	77523898	1
15	0610040B10Rik	25.1056641165324	0.0954584809253502	1.06840488757822	0.150101559353258	0.635959288741912	0.524802957392275	NA	28	17	29	24	27	19	33	20	ENSMUSG00000089889	RIKEN cDNA 0610040B10 gene	5	143329247	143332704	1
16	0610043K17Rik	5.39654013337833	-0.107239911277689	-1.07716548726991	0.117711849367021	-0.911037519624036	0.362275605063822	NA	10	5	8	5	7	1	3	4	ENSMUSG00000087361	RIKEN cDNA 0610043K17 gene	4	101353783	101399181	1
17	1110001J03Rik	70.22606641714	-0.128590260467919	-1.09322492679547	0.145610112878384	-0.883113527803664	0.377174935827555	0.99984980203113	105	78	87	50	68	75	67	43	ENSMUSG00000019689	RIKEN cDNA 1110001J03 gene	6	38533502	38539449	1
18	1110002L01Rik	523.124330339072	0.155970386928825	1.11417078087362	0.13811329519681	1.1292930684665	0.258774223985588	0.99984980203113	464	561	463	494	581	736	452	446	ENSMUSG00000071456	RIKEN cDNA 1110002L01 gene	12	3403878	3427011	-1
20	1110004F10Rik	1980.96447248447	0.0183198562214505	1.01277932317024	0.062208215255477	0.294492554499666	0.768381551958648	0.99984980203113	2223	1933	1958	2102	2030	1923	1966	1817	ENSMUSG00000030663	RIKEN cDNA 1110004F10 gene	7	116093301	116105210	1
21	1110007C09Rik	412.89180373451	0.0419958251876197	1.02953710419698	0.117219082704015	0.358267819700157	0.7201428980528	0.99984980203113	494	431	393	378	385	502	434	359	ENSMUSG00000037960	RIKEN cDNA 1110007C09 gene	13	49202951	49216026	-1
22	1110008F13Rik	1868.80015045497	0.0565775355262971	1.03999567993197	0.137177534098666	0.412440243207778	0.680016771584049	0.99984980203113	1625	2146	1901	1803	1735	2460	1669	1578	ENSMUSG00000027637	RIKEN cDNA 1110008F13 gene	2	156863128	156873563	1
